,Movie,Rating Score,Total No. of Ratings,Genre,Budget,Gross USA
163,The Sixth Sense,8.1,"891,881","['Drama', 'Mystery', 'Thriller']","40,000,000","293,506,292"
164,The Thing,8.1,"358,624","['Horror', 'Mystery', 'Sci-Fi']","15,000,000","19,629,760"
165,Jurassic Park,8.1,"841,086","['Action', 'Adventure', 'Sci-Fi']","63,000,000","403,686,720"
166,Gone with the Wind,8.1,"282,833","['Drama', 'History', 'Romance']","3,977,000","200,852,579"
167,Smultronstället,8.2,"92,329","['Drama', 'Romance']",N/A,N/A
168,Blade Runner,8.1,"675,766","['Action', 'Sci-Fi', 'Thriller']","28,000,000","32,868,943"
169,Finding Nemo,8.1,"925,177","['Animation', 'Adventure', 'Comedy']","94,000,000","380,843,261"
170,The Truman Show,8.1,"906,552","['Comedy', 'Drama', 'Sci-Fi']","60,000,000","125,618,201"
171,Room,8.1,"355,079","['Drama', 'Thriller']","13,000,000","14,677,654"
172,The Bridge on the River Kwai,8.1,"198,043","['Adventure', 'Drama', 'War']","3,000,000","27,200,000"
173,Stalker,8.2,"111,203","['Drama', 'Sci-Fi']","Budget:RUR6,000,000","292,049"
174,Kill Bill: Vol. 1,8.1,"974,119","['Action', 'Crime', 'Thriller']","30,000,000","70,099,045"
175,Fargo,8.1,"598,880","['Crime', 'Drama', 'Thriller']","7,000,000","24,611,975"
176,The Third Man,8.1,"154,740","['Film-Noir', 'Mystery', 'Thriller']",N/A,"1,067,364"
177,On the Waterfront,8.1,"137,922","['Crime', 'Drama', 'Thriller']","910,000",N/A
178,Tôkyô monogatari,8.2,"50,033",['Drama'],N/A,N/A
179,Gran Torino,8.1,"705,216",['Drama'],"33,000,000","148,095,302"
180,Salinui chueok,8.1,"126,826","['Action', 'Crime', 'Drama']","2,800,000","15,357"
181,The Deer Hunter,8.1,"303,327","['Drama', 'War']","15,000,000","48,979,328"
182,Relatos salvajes,8.1,"169,399","['Comedy', 'Drama', 'Thriller']","3,300,000","3,106,530"
183,Andhadhun,8.3,"64,610","['Crime', 'Thriller']","4,500,000","1,193,046"
184,Klaus,8.2,"73,479","['Animation', 'Adventure', 'Comedy']","40,000,000",N/A
185,In the Name of the Father,8.1,"152,154","['Biography', 'Drama']","13,000,000","25,096,862"
186,Mary and Max,8.1,"160,563","['Animation', 'Comedy', 'Drama']","Budget:AUD8,240,000",N/A
187,The Big Lebowski,8.1,"710,375","['Comedy', 'Crime', 'Sport']","15,000,000","18,034,458"
188,Gone Girl,8.1,"829,519","['Drama', 'Mystery', 'Thriller']","61,000,000","167,767,189"
189,Eskiya,8.3,"61,524","['Crime', 'Drama', 'Thriller']","Budget:TRL1,200,000",N/A
190,Hacksaw Ridge,8.1,"415,857","['Biography', 'Drama', 'History']","40,000,000","67,209,615"
191,The Grand Budapest Hotel,8.1,"684,991","['Adventure', 'Comedy', 'Crime']","25,000,000","59,301,324"
192,Before Sunrise,8.1,"261,290","['Drama', 'Romance']","2,500,000","5,535,405"
193,Catch Me If You Can,8.1,"796,048","['Biography', 'Crime', 'Drama']","52,000,000","164,615,351"
194,To Be or Not to Be,8.2,"27,060","['Comedy', 'War']",N/A,"3,270,000"
195,Persona,8.1,"98,233","['Drama', 'Thriller']",N/A,N/A
196,Ford v Ferrari,8.1,"243,887","['Action', 'Biography', 'Drama']","97,600,000","117,624,357"
197,The General,8.1,"78,389","['Action', 'Adventure', 'Comedy']","750,000",N/A
198,How to Train Your Dragon,8.1,"649,497","['Animation', 'Action', 'Adventure']","165,000,000","217,581,231"
199,Prisoners,8.1,"578,263","['Crime', 'Drama', 'Mystery']","46,000,000","61,002,302"
200,Sherlock Jr.,8.2,"39,331","['Action', 'Comedy', 'Romance']",N/A,"977,375"
201,Mr. Smith Goes to Washington,8.1,"104,196","['Comedy', 'Drama']","1,900,000","144,738"
202,12 Years a Slave,8.1,"622,408","['Biography', 'Drama', 'History']","20,000,000","56,671,993"
203,Barry Lyndon,8.1,"144,591","['Adventure', 'Drama', 'History']","11,000,000",N/A
204,Mad Max: Fury Road,8.1,"852,647","['Action', 'Adventure', 'Sci-Fi']","150,000,000","154,058,340"
205,Stand by Me,8.1,"354,501","['Adventure', 'Drama']","8,000,000","52,287,414"
206,Network,8.1,"141,347",['Drama'],"3,800,000","23,689,877"
207,Cool Hand Luke,8.1,"157,922","['Crime', 'Drama']","3,200,000",N/A
208,Million Dollar Baby,8.1,"621,353","['Drama', 'Sport']","30,000,000","100,492,203"
209,Into the Wild,8.1,"558,888","['Adventure', 'Biography', 'Drama']","15,000,000","18,354,356"
210,Hachi: A Dog's Tale,8.1,"244,778","['Drama', 'Family']","16,000,000",N/A
211,Ben-Hur,8.1,"214,215","['Adventure', 'Drama', 'History']","15,000,000","74,422,622"
212,Dead Poets Society,8.1,"409,245","['Comedy', 'Drama']","16,400,000","95,860,116"
213,Le salaire de la peur,8.1,"52,700","['Adventure', 'Drama', 'Thriller']",N/A,N/A
214,Platoon,8.1,"372,345","['Drama', 'War']","6,000,000","138,530,565"
215,Life of Brian,8.1,"358,091",['Comedy'],"4,000,000","20,206,622"
216,Harry Potter and the Deathly Hallows: Part 2,8.1,"740,639","['Adventure', 'Drama', 'Fantasy']","125,000,000","381,409,310"
217,Logan,8.1,"624,550","['Action', 'Drama', 'Sci-Fi']","97,000,000","226,277,068"
218,Rush,8.1,"421,421","['Action', 'Biography', 'Drama']","38,000,000","26,947,624"
219,Du rififi chez les hommes,8.2,"26,064","['Crime', 'Thriller']",N/A,"517,975"
220,La passion de Jeanne d'Arc,8.1,"45,553","['Biography', 'Drama', 'History']",N/A,"21,877"
221,Ah-ga-ssi,8.1,"103,322","['Drama', 'Romance', 'Thriller']","Budget:KRW10,000,000,000","2,006,788"
222,Les quatre cents coups,8.1,"101,391","['Crime', 'Drama']",N/A,509
223,Andrei Rublev,8.1,"44,514","['Biography', 'Drama', 'History']","Budget:RUR1,000,000","124,189"
224,Hotel Rwanda,8.1,"328,421","['Biography', 'Drama', 'History']","17,500,000","23,530,892"
225,Spotlight,8.1,"404,594","['Biography', 'Crime', 'Drama']","20,000,000","45,055,776"
226,Amores perros,8.1,"218,607","['Drama', 'Thriller']","2,000,000","5,408,467"
227,Rang De Basanti,8.2,"108,486","['Comedy', 'Drama']",N/A,"2,197,694"
228,Kaze no tani no Naushika,8.1,"144,043","['Animation', 'Adventure', 'Fantasy']","1,000,000","495,770"
229,Rocky,8.1,"504,654","['Drama', 'Sport']","960,000","117,235,147"
230,La haine,8.1,"143,642","['Crime', 'Drama']","Budget:EUR2,590,000","280,859"
231,"Monsters, Inc.",8,"792,544","['Animation', 'Adventure', 'Comedy']","115,000,000","289,916,256"
232,Rebecca,8.1,"118,813","['Drama', 'Mystery', 'Romance']","1,288,000",N/A
233,Gangs of Wasseypur,8.2,"77,647","['Action', 'Crime', 'Drama']","Budget:INR184,000,000",N/A
234,Portrait de la jeune fille en feu,8.1,"47,067","['Drama', 'Romance']",N/A,"3,759,854"
235,The Circus,8.1,"26,797","['Comedy', 'Romance']","900,000",N/A
236,Before Sunset,8,"227,569","['Drama', 'Romance']","2,700,000","5,820,649"
237,It Happened One Night,8.1,"91,008","['Comedy', 'Romance']","325,000",N/A
238,Fa yeung nin wah,8.1,"118,444","['Drama', 'Romance']",N/A,"2,738,980"
239,"Paris, Texas",8.1,"85,748",['Drama'],"Budget:GBP1,162,000","2,181,987"
240,Drishyam,8.2,"65,281","['Crime', 'Drama', 'Mystery']","9,400,000",N/A
241,The Help,8,"418,305",['Drama'],"25,000,000","169,708,112"
242,Contratiempo,8.1,"125,171","['Crime', 'Drama', 'Mystery']","Budget:EUR4,000,000",N/A
243,The Princess Bride,8.1,"383,910","['Adventure', 'Family', 'Fantasy']","16,000,000","30,857,814"
244,The Terminator,8,"781,854","['Action', 'Sci-Fi']","6,400,000","38,371,200"
245,La battaglia di Algeri,8.1,"50,827","['Drama', 'War']","800,000","879,794"
246,Kumonosu-jô,8.1,"44,512","['Drama', 'History']",N/A,"46,808"
247,"Swades: We, the People",8.2,"80,825",['Drama'],N/A,"1,223,240"
248,Lagaan: Once Upon a Time in India,8.1,"102,089","['Adventure', 'Drama', 'Musical']","6,000,000","909,043"
249,"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",8.1,"35,952","['Animation', 'Action', 'Drama']",N/A,N/A
